Year,Month,State,Vehicle_Category,Vehicle_Type,EV_Sales_Quantity
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Bus,Bus,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Bus,Institution Bus,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,2-Wheelers,2W_Personal,1
2014,1,Andhra Pradesh,4-Wheelers,4W_Shared,0
2014,1,Andhra Pradesh,4-Wheelers,4W_Personal,0
2014,1,Andhra Pradesh,Bus,Bus,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,3-Wheelers,3W_Shared,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Andhra Pradesh,Others,Others,0
2014,1,Arunachal Pradesh,Others,Others,0
2014,1,Arunachal Pradesh,Bus,Bus,0
2014,1,Arunachal Pradesh,Others,Others,0
2014,1,Arunachal Pradesh,Others,Others,0
2014,1,Arunachal Pradesh,Others,Others,0
2014,1,Arunachal Pradesh,Others,Others,0
2014,1,Arunachal Pradesh,Others,Others,0
2014,1,Arunachal Pradesh,Others,Others,0
2014,1,Arunachal Pradesh,Others,Others,0
2014,1,Arunachal Pradesh,Others,Others,0
2014,1,Arunachal Pradesh,2-Wheelers,2W_Personal,0
2014,1,Arunachal Pradesh,2-Wheelers,2W_Personal,0
2014,1,Arunachal Pradesh,4-Wheelers,4W_Shared,0
2014,1,Arunachal Pradesh,4-Wheelers,4W_Personal,0
2014,1,Arunachal Pradesh,3-Wheelers,3W_Shared,0
2014,1,Arunachal Pradesh,3-Wheelers,3W_Personal,0
2014,1,Arunachal Pradesh,Others,Others,0
2014,1,Arunachal Pradesh,Others,Others,0
2014,1,Assam,Others,Others,0
2014,1,Assam,Others,Others,0
2014,1,Assam,Others,Others,0
2014,1,Assam,Bus,Bus,0
2014,1,Assam,Others,Others,0
2014,1,Assam,Others,Others,0
2014,1,Assam,Others,Others,0
2014,1,Assam,Others,Others,0
2014,1,Assam,Others,Others,0
2014,1,Assam,Others,Others,0
2014,1,Assam,Others,Others,0
2014,1,Assam,2-Wheelers,2W_Personal,0
2014,1,Assam,2-Wheelers,2W_Personal,0
2014,1,Assam,4-Wheelers,4W_Shared,0
2014,1,Assam,4-Wheelers,4W_Personal,0
2014,1,Assam,3-Wheelers,3W_Goods,0
2014,1,Assam,3-Wheelers,3W_Shared,0
2014,1,Assam,3-Wheelers,3W_Personal,0
2014,1,Assam,Others,Others,0
2014,1,Assam,Others,Others,0
2014,1,Andaman & Nicobar Island,Bus,Bus,0
2014,1,Andaman & Nicobar Island,Others,Others,0
2014,1,Andaman & Nicobar Island,Others,Others,0
2014,1,Andaman & Nicobar Island,2-Wheelers,2W_Personal,0
2014,1,Andaman & Nicobar Island,2-Wheelers,2W_Personal,0
2014,1,Andaman & Nicobar Island,4-Wheelers,4W_Shared,0
2014,1,Andaman & Nicobar Island,4-Wheelers,4W_Personal,0
2014,1,Andaman & Nicobar Island,2-Wheelers,2W_Shared,0
2014,1,Andaman & Nicobar Island,3-Wheelers,3W_Shared,0
2014,1,Bihar,Others,Others,0
2014,1,Bihar,Bus,Bus,0
2014,1,Bihar,Others,Others,0
2014,1,Bihar,Others,Others,0
2014,1,Bihar,Others,Others,0
2014,1,Bihar,Others,Others,0
2014,1,Bihar,2-Wheelers,2W_Personal,0
2014,1,Bihar,2-Wheelers,2W_Personal,0
2014,1,Bihar,2-Wheelers,2W_Personal,0
2014,1,Bihar,4-Wheelers,4W_Shared,0
2014,1,Bihar,4-Wheelers,4W_Personal,0
2014,1,Bihar,2-Wheelers,2W_Shared,0
2014,1,Bihar,3-Wheelers,3W_Goods,0
2014,1,Bihar,3-Wheelers,3W_Shared,0
2014,1,Bihar,Others,Others,0
2014,1,Bihar,Others,Others,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Bus,Bus,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Bus,Institution Bus,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,2-Wheelers,2W_Personal,10
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,2-Wheelers,2W_Personal,0
2014,1,Chhattisgarh,4-Wheelers,4W_Shared,0
2014,1,Chhattisgarh,4-Wheelers,4W_Personal,0
2014,1,Chhattisgarh,Bus,Bus,0
2014,1,Chhattisgarh,Bus,Bus,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,3-Wheelers,3W_Goods,0
2014,1,Chhattisgarh,3-Wheelers,3W_Shared,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chhattisgarh,Others,Others,0
2014,1,Chandigarh,Others,Others,0
2014,1,Chandigarh,Others,Others,0
2014,1,Chandigarh,Bus,Bus,0
2014,1,Chandigarh,Others,Others,0
2014,1,Chandigarh,Bus,Institution Bus,0
2014,1,Chandigarh,Others,Others,0
2014,1,Chandigarh,2-Wheelers,2W_Personal,0
2014,1,Chandigarh,2-Wheelers,2W_Personal,0
2014,1,Chandigarh,4-Wheelers,4W_Shared,0
